十万个冷笑话,13370
博物馆奇妙夜3,6760
后会无期,13370
铁甲钢拳,6780
霍比特人3,12840
冰雪奇缘,9960
绝命航班,4710
笔仙,8610
悲惨世界,10410
脱轨时代,5510
沉睡魔咒,11260
第一次,6780
机械战警,10410
疯狂外星人,7500
霍比特人1,7210
那些年，我们一起追的女孩,7080
天际浩劫,5640
赛尔号大电影3之战神联盟,7680
喜羊羊与灰太狼之喜气羊羊过蛇年,7730
我是路人甲,6210
分手大师,13670
宫锁沉香,13370
风暴,11780
巨人捕手杰克,5570
致命黑兰,5100
重返地球,9790
全城通缉,4720
逆战,13070
中国合伙人,13600
天台爱情,11480
分手合约,11310
我想和你好好的,11640
泰坦尼克号,5450
一生一世,10420
六福喜事,5990
超凡蜘蛛侠2,13600
痞子英雄2,6860
消失的子弹,10540
夺命深渊,5230
整容日记,6450
左耳,13370
画皮2,13370
神偷奶爸2,9450
大上海,6110
爸爸去哪儿,13370
火鸡总动员,6390
特殊身份,13740
窃听风云3,10710
大魔术师,6990
单身男女,6860
007,5490
赛车总动员2,5450
狼图腾,13500
爱,6850
喜羊羊与灰太狼之飞马奇遇记,8380
孤岛惊魂,11550
西游记之大圣归来,11030
地心引力,13500
海啸奇迹,5450
史努比,4900
西游降魔篇,12150
港囧,13370
绝命海拔,7570
蓝精灵2,5260
一触即发,8990
人再囧途之泰囧,10650
狄仁杰之神都龙王,13500
不惧风暴,6200
猩球崛起,8180
重返20岁,12210
失恋33天,13370
X战警,13370
小时代3,13370
动物总动员,6130
大海啸之鲨口逃生,5200
超能陆战队,13670
别惹我,5940
天河,7000
遗落战境,8860
庞贝末日,7530
笔仙3,6020
关云长,12840
刺客聂隐娘,8220
极品飞车,10540
北京遇上西雅图,10720
破风,12520
猩球崛起2,13500
毒战,10410
铜雀台,10580
碟中谍4,7550
最爱,6040
摩登年代,6480
关键第四号,6000
四大名捕,13370
我的早更女友,9550
一代宗师,6940
冰川时代2,6130
2012,12840
九层妖塔,13370
碟中谍5,13370
地心历险记2,6990
一路惊喜,7060
猪猪侠之终极决战,6780
头脑特工队,7810
第七子,7510
我的个神啊,7530
微爱之渐入佳境,8420
白蛇传说,11480
闺蜜,10880
四大名捕2,12900
救火英雄,7570
横冲直撞好莱坞,9580
潜艇总动员4,7400
雷神,6680
神奇侠侣,5980
森林战士,4820
绣春刀,11480
小时代2,13370
白雪公主之魔镜魔镜,4460
洛克王国4,7060
王的盛宴,7940
澳门风云2,13740
桂宝之爆笑闯宇宙,6450
百团大战,6020
命中注定,7070
爸爸的假期,10720
大侦探福尔摩斯2,5410
天将雄师,12900
赛尔号大电影4,4840
狂暴飞车,5140
饥饿游戏,10650
驯龙高手2,10410
大武生,5980
西游记之大闹天宫,11550
功夫熊猫2,13560
特种部队2,10410
宅女侦探桂香,4890
明日世界,8360
快乐到家,13350
辛亥革命,6960
钟馗伏魔,11480
前任2,6230
里约大冒险,5020
空中营救,5110
灰姑娘,13560
小王子,12900
前任攻略,6530
解救吾先生,13360
一九四二,7070
我爱灰太狼2,7580
单身男女2,10280
扫毒,13430
万物生长,12440
斯大林格勒,7340
王牌特工,6760
喜羊羊与灰太狼之羊年喜羊羊,5920
霍比特人2,11480
狂怒,9190
变形金刚4,13370
独行侠,8260
厨子戏子痞子,12180
终结者,13370
四大名捕大结局,4510
杨善洲,6630
暴疯语,4940
神奇海盗团,4880
非常幸运,8930
惊天战神,7680
速度与激情6,13370
大明猩,7350
倩女幽魂,12840
英雄之战,6710
马达加斯加3,5610
太空一号,4980
星际迷航,7660
极乐空间,10580
神奇,6470
喜羊羊与灰太狼之开心闯龙年,13370
飓风营救2,6160
复仇者联盟,13370
星际穿越,12900
小时代4,13370
复仇者联盟2,13370
栀子花开,13370
虎胆龙威5,11720
露水红颜,10420
精灵旅社2,5300
生化危机5,11480
劫案迷云,4600
饭局也疯狂,5320
陪安东尼度过漫长岁月,5230
大闹天宫3D,4950
我爱灰太狼,5980
无人区,13500
全球热恋,5690
山河故人,6070
搜索,11480
雪国列车,7450
屠魔战士,5470
超能查派,8070
爸爸去哪儿2,5140
笔仙惊魂3,4570
开心超人,4810
黄金大劫案,11480
冰封,5340
新大头儿子和小头爸爸之秘密计划,4550
麦兜我和我妈妈,4510
HOLD住爱,5910
致我们终将逝去的青春,13370
天机·富春山居图,6060
归来,10820
像素大战,9350
哆啦A梦,6780
撒娇女人最好命,6970
黄金时代,10660
剩者为王,7270
马达加斯加的企鹅,7070
饥饿游戏2,9190
一步之遥,13370
捉妖记,13370
被偷走的那五年,10880
环形使者,5990
女巫季节,5120
晚秋,10480
移动迷宫,9570
观音山,7040
洛克王国2,7000
怪兽大学,10540
郭明义,6530
少年班,8700
铠甲勇士之雅塔莱斯,10650
亲爱的,10540
驱魔者,4340
三个火枪手,4980
烈日灼心,13560
速度与激情7,13370
钢铁侠3,12710
桃姐,7980
致命伴旅,5730
匆匆那年,13370
神秘世界历险记2,5120
煎饼侠,13370
华丽上班族,6490
美国队长2,11830
神笔马良,5570
大追捕,5910
少年派的奇幻漂流,6200
移动迷宫2,9070
王者之剑,4460
大武当之天地密码,5240
暴力街区,10720
巴啦啦小魔仙之魔箭公主,4770
盟军夺宝队,4880
超凡蜘蛛侠,11480
安德的游戏,8400
了不起的盖茨比,10720
白鹿原,13370
河东狮吼2,7070
魔境仙踪,6990
触不可及,8640
极速蜗牛,5260
甜蜜杀机,4840
帕丁顿熊,7740
云图,13500
窃听风云2,9160
金刚狼2,11550
笔仙Ⅱ,8020
亲密敌人,11650
赛尔号大电影5,5680
蜂鸟特攻,4450
敢死队3,13370
第三种爱情,10710
黄飞鸿之英雄有梦,8850
神探驾到,4850
反贪风暴,5150
小黄人大眼萌,13070
加勒比海盗4,13740
战国,7070
熊猫总动员,4980
老男孩猛龙过江,4900
新天生一对,10330
控制,5090
赤道,10290
新娘大作战,11600
雪花秘扇,4860
青蜂侠,6780
美少女特攻队,5030
何以笙箫默,13370
潜艇总动员3,5630
模仿游戏,5860
冲上云霄,10720
名侦探柯南,8470
北京爱情故事,11480
咱们结婚吧,11480
惊天危机,10580
全面回忆,8070
将错就错,6190
赤焰战场2,6020
既然青春留不住,5820
盗马记,6190
警察故事2013,13370
飞天,5790
环太平洋,13370
痞子英雄之全面开战,5690
黑猫警长之翡翠之星,6380
木星上行,11460
太极1,4910
在劫难逃,5050
洛杉矶之战,12510
无敌破坏王,5590
临时同居,5610
全民目击,7490
建党伟业,13070
巴啦啦小魔仙,4900
夏洛特烦恼,10420
王朝的女人·杨贵妃,7270
冰川时代4,6210
熊出没之夺宝熊兵,13890
机械师,6960
百星酒店,5460
八星抱喜,5160
人狼大战,5450
将爱情进行到底,6610
诸神之怒,7750
道士下山,13370
小羊肖恩,6700
精灵旅社,5840
催眠大师,9800
谜城,4810
金蝉脱壳,8250
我知女人心,6000
龙之谷,6390
敢死队2,13370
二次曝光,9550
超级战舰,13890
激战,8980
小时代,13370
异星战场,10580
魔法总动员,4450
一夜惊喜,13070
有一个地方只有我们知道,13370
周恩来的四个昼夜,5720
不二神探,13370
普罗米修斯,13500
黑衣人3,13370
白发魔女传之明月天国,13500
忍者神龟,5450
抢劫坚果店,4450
忠烈杨家将,10650
飓风营救3,9550
速度与激情5,12940
京城81号,13600
明日边缘,11160
侏罗纪公园,8980
