['will_watch', 'rating_people_num', 'rating_score', 'watched', 'story', 'per_rating_5to1', 'actors', 'img_url', 'short_name', 'tags', 'director', 'authors', 'date', 'img_name', 'total_money', 'types', 'better_than', 'product_type', 'name', 'language', 'country', 'length', 'related_movie']
21125$173305$7.0$193082$不知何年，妖界大乱。新妖王对前代势力痛下杀手，更誓要对前妖后腹中的孩子斩尽杀绝。妖后一行躲避追杀来到地处大山深处的永宁村，偏巧遇到捉妖天师霍小岚（白百何 饰）和罗刚（姜武 饰）。一番混乱过后，妖后自知气数将尽，遂将妖蛋放入永宁村保长宋天荫（井柏然 饰）的腹中保存。是夜，小岚所属的天师堂掌门人葛千户（钟汉良 饰）率领手下血洗永宁村，天荫不得已随小岚逃亡。时机成熟，萝卜妖怪胡巴降生人间。在接下来的旅途中，小岚和天荫对彼此的了解不断加深，而胡巴也终于成为他们中间最不可割舍的重要存在。　　战争仍在继续，人和妖的界限日渐模糊……$14.4,37.2,36.7,8.0,3.6,$白百何,井柏然,姜武,$http://img4.douban.com/view/movie_poster_cover/lpst/public/p2257944916.jpg$捉妖记$喜剧,奇幻,胡巴,萌,搞笑,2015,中国大陆,古装,$许诚毅$袁锦麟,$2015-07-16$p2257944916.jpg$243828$喜剧,奇幻,古装,$喜剧片:52,奇幻片:49,$国产$捉妖记$汉语普通话,$中国大陆,香港,$118$心花路放,煎饼侠,夏洛特烦恼,博物馆奇妙夜3,我的个神啊,港囧,滚蛋吧！肿瘤君,重返20岁,人再囧途之泰囧,帕丁顿熊,$
34603$188032$8.4$213755$经历了紧张刺激的伦敦大战，多米尼克·托雷托（范·迪塞尔 Vin Diesel 饰）和他的伙伴们重新回归平静的生活，但是江湖的恩恩怨怨却决不允许他们轻易抽身而去。棘手的死对头欧文·肖瘫在医院，不得动弹，他的哥哥戴克·肖（杰森·斯坦森 Jason Stantham 饰）则发誓要为弟弟复仇。戴克曾是美国特种部队的王牌杀手，不仅身怀绝技，而且心狠手辣。他干掉了远在东京的韩，还几乎把探长卢克·霍布斯（道恩·强森 Dwayne Johnson 饰）送到另一个世界，甚至多米尼克那世外桃源般的家也被对方炸毁。　　复仇的利刃已经架在脖子上，多米尼克再也没有选择，他找到长久以来最为信赖的团队，与来势汹汹的戴克展开生死对决……$42.0,38.2,16.7,2.2,0.9,$范·迪塞尔,保罗·沃克,杰森·斯坦森,$http://img4.douban.com/view/movie_poster_cover/lpst/public/p2233706697.jpg$速度与激情7$动作,美国,赛车,2015,跑车,犯罪,经典,冒险,$温子仁$克里斯·摩根 , 盖瑞·斯科特·汤普森,$2015-04-12$p2233706697.jpg$242635$动作,犯罪,$动作片:96,犯罪片:93,$进口分账$速度与激情7$英语,$美国,中国大陆,日本,$140$速度与激情5,碟中谍5：神秘国度,王牌特工：特工学院,智取威虎山,金蝉脱壳,疯狂的麦克斯4：狂暴之路,杀破狼2,这个杀手不太冷,暴力街区,明日边缘,$
27633$165950$6.6$191649$当年那场惨烈的芝加哥大战，汽车人虽然成功击退了霸天虎的入侵，却也让地球人对他们失去了应有的信任与尊重。由美国中情局组建的“墓风”部队对所有的变形金刚进行无差别的猎杀，一时间汽车人和霸天虎全都在地球不见了踪影。某天，居住在得州的落魄机械发明家凯德·伊格（马克·沃尔伯格 Marky Mark 饰）买回来一辆破旧的卡车车头，谁知那竟是处在休眠中的汽车人首领擎天柱。嗅到气息的墓风部队蜂拥而至，苏醒后的擎天柱救走了凯德一家，也和散落在各个角落的汽车人相继取得联系。另一方面，疯狂的人类科学家从变形金刚的残骸中获知了他们变形的秘密，并企图借此制造出人造金刚，而脱胎自威震天的惊破天正是他们的得意作品以及催命死神。　　新一轮的危机卷土而来，地球面临更大的灾难……$11.3,28.8,43.2,12.8,4.0,$马克·沃尔伯格,斯坦利·图齐,凯尔希·格兰莫,$http://img3.douban.com/view/movie_poster_cover/lpst/public/p2187231762.jpg$变形金刚4$变形金刚,科幻,美国,2014,动作,美国电影,Transformers,电影,$迈克尔·贝$伊伦·克鲁格,$2014-06-27$p2187231762.jpg$197630$动作,科幻,$动作片:44,科幻片:42,$进口分账$变形金刚4：绝迹重生$英语,汉语普通话,粤语,$美国,中国大陆,$166$哥斯拉,超体,机械战警,安德的游戏,分歧者：异类觉醒,极乐空间,超凡蜘蛛侠2,忍者神龟：变种时代,移动迷宫,金刚狼2,$
11599$120697$6.1$133475$徐来（徐峥 饰）曾经的梦想是成为一名油画家，可如今他早已沦为理想炮灰，在一家大地内衣公司当小老板。大地胸罩公司是岳父开的，他是上门女婿。虽然被全家人尊为最有出息人，但他对俗气的一家人很看不上，并把理想的沦陷归咎于他们。徐来对老婆蔡波（赵薇 饰）也一肚子意见。　　大学同学20周年聚会上，徐来听到同学们谈论初恋杨伊（杜鹃 饰），顿时心猿意马。 不日，他陪伴老婆及家人来到香港游玩，计划和多年未见的杨伊偷偷会面，不料却被小舅子蔡拉拉（包贝尔 饰）缠住，拉拉一直梦想成为导演。在拍摄一部以家人为主题的纪录片。在约见初恋的过程中，二人不知不觉卷入了一起坠楼命案。甜蜜的约会之旅，变成了一场惊心动魄的历险与逃亡……　　徐来和拉拉，将如何度过香港这难忘的一天？$7.9,22.0,43.4,18.7,8.0,$徐峥,赵薇,包贝尔,$http://img4.doubanio.com/view/movie_poster_cover/lpst/public/p2266145079.jpg$港囧$喜剧,徐铮,搞笑,2015,香港,中国大陆,爱情,烂片,$徐峥$束焕 , 苏亮 , 赵英俊 , 邢爱娜 , 徐峥,$2015-09-25$p2266145079.jpg$161235$喜剧,$喜剧片:21,$国产$港囧$汉语普通话,粤语,$中国大陆,$114$煎饼侠,澳门风云2,撒娇女人最好命,分手大师,性爱录像带,像男人一样思考2,前任攻略,极品女士,私人订制,像素大战,$
30689$151039$7.1$172349$托尼·斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰）试图重启一个已经废弃的维和项目，不料该项目却成为危机导火索。世上最强大的超级英雄——钢铁侠、美国队长（克里斯·埃文斯 Chris Evans 饰）、雷神（克里斯·海姆斯沃斯 Chris Hemsworth 饰）、绿巨人（马克·鲁弗洛 Mark Ruffalo 饰）、黑寡妇（斯嘉丽·约翰逊 Scarlett Johansson 饰）和鹰眼（杰瑞米·雷纳 Jeremy Renner 饰），不得不接受终极考验，拯救危在旦夕的地球。神秘反派奥创（詹姆斯·斯派德 James Spader 配音）逐渐崛起，超级英雄们必须重新集结，竭力阻止奥创实施人类灭绝计划。战斗中，复仇者联盟成员们还遇到了两个新人物——旺达·马克西莫夫（伊丽莎白·奥尔森 Elizabeth Olsen 饰）和皮特罗·马克西莫夫（亚伦·泰勒-约翰逊 Aaron Taylor-Johnson 饰），以及以全新面目归来的老朋友——幻视（保罗·贝坦尼 Paul Bettany 饰）。　　世界秩序濒临崩溃，复仇者联盟必须阻止奥创的阴谋。强敌不断出现，一场空前绝后的全球浩战即将展开……$14.2,36.8,40.9,6.7,1.4,$小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁弗洛,$http://img3.douban.com/view/movie_poster_cover/lpst/public/p2237747953.jpg$复仇者联盟2$科幻,美国,Marvel,复仇者联盟,2015,动作,漫画改编,超级英雄,$乔斯·韦登$乔斯·韦登 , 斯坦·李 , 杰克·科比,$2015-05-12$p2237747953.jpg$146589$动作,科幻,奇幻,冒险,$动作片:64,科幻片:61,$进口分账$复仇者联盟2：奥创纪元$英语,韩语,$美国,$142$钢铁侠,银河护卫队,复仇者联盟,雷神2：黑暗世界,美国队长2,超凡蜘蛛侠2,X战警：逆转未来,蚁人,侏罗纪世界,超体,$
19921$180574$7.8$196281$昔日校花秋雅（王智 饰）的婚礼正在隆重举行，学生时代暗恋秋雅的夏洛（沈腾 饰）看着周围事业成功的老同学，心中泛起酸味，借着七分醉意大闹婚礼现场，甚至惹得妻子马冬梅（马丽 饰）现场发飙，而他发泄过后却在马桶上睡着了。梦里他重回校园，追求到他心爱的女孩、让失望的母亲重展笑颜、甚至成为无所不能的流行乐坛巨星……　　醉生梦死中，他发现身边人都在利用自己，只有马冬梅是最值得珍惜的……$31.3,39.2,21.9,4.7,2.8,$沈腾,马丽,尹正,$http://img3.douban.com/view/movie_poster_cover/lpst/public/p2264377763.jpg$夏洛特烦恼$喜剧,开心麻花,搞笑,国产,青春,爱情,2015,沈腾,$闫非 / 彭大魔$闫非 , 彭大魔,$2015-09-30$p2264377763.jpg$143895$喜剧,爱情,$喜剧片:81,爱情片:77,$国产$夏洛特烦恼$汉语普通话,$中国大陆,$104$心花路放,我的个神啊,捉妖记,人再囧途之泰囧,滚蛋吧！肿瘤君,重返20岁,小黄人大眼萌,王牌特工：特工学院,煎饼侠,废柴兄弟2,$
15061$156248$7.8$176153$21世纪，曾经诞生过第一只恐龙的努布拉岛，在经历了一系列的惨剧之后迎来新的时代，如今这里经马斯拉尼之手建成了规模宏大的主题公园“侏罗纪世界”，数量繁多的远古生物每天都吸引数以万计的游客前来一饱眼福。为了吸引更多的游客，公司授意创意实验室采用不同动物的基因创造了集力量、速度和智慧于一体的暴虐霸王龙。作为负责人的克莱尔（布莱丝·达拉斯·霍华德 Bryce Dallas Howard 饰）原打算请专门负责迅猛龙的欧文·格雷迪（克里斯·普拉特 Chris Pratt 饰）评估暴虐霸王龙的防护设施，谁知这头可怕的怪物竟然骗过了精密仪器的监视和人类的眼睛，以迅雷不及掩耳的速度逃到了外面，随后对所见的一切生物展开了无差别的血腥屠杀。　　原本快乐祥和的公园乱作一团，克莱尔必须深入危险之地救出两个被困的外甥，而欧文则不可避免地带着他的迅猛龙猎人团队迎战史无前例的的可怕对手……$21.8,47.9,27.1,2.7,0.5,$克里斯·普拉特,布莱丝·达拉斯·霍华德,文森特·多诺费奥,$http://img3.douban.com/view/movie_poster_cover/lpst/public/p2246217861.jpg$侏罗纪世界$科幻,美国,恐龙,冒险,2015,动作,惊悚,3D,$科林·特雷沃罗$里克·杰法 , 阿曼达·斯尔沃 , 德里克·康纳利 , 科林·特雷沃罗 , 迈克尔·克莱顿,$2015-06-10$p2246217861.jpg$141959$动作,科幻,冒险,$冒险片:76,科幻片:83,$进口分账$侏罗纪世界$英语,$美国,中国大陆,$124$明日边缘,猩球崛起2：黎明之战,超能查派,银河护卫队,终结者：创世纪,蚁人,复仇者联盟2：奥创纪元,星际穿越,超凡蜘蛛侠2,美国队长2,$
35320$430400$8.6$558031$战斗中负伤而下身瘫痪的前海军战士杰克•萨利（萨姆•沃辛顿 Sam Worthington 饰）决定替死去的同胞哥哥来到潘多拉星操纵格蕾丝博士（西格妮•韦弗 Sigourney Weaver 饰）用人类基因与当地纳美部族基因结合创造出的 “阿凡达” 混血生物。杰克的目的是打入纳美部落，外交说服他们自愿离开世代居住的家园，从而SecFor公司可砍伐殆尽该地区的原始森林，开采地下昂贵的“不可得”矿。在探索潘多拉星的过程中，杰克遇到了纳美部落的公主娜蒂瑞（佐伊•索尔达娜 Zoe Saldana 饰），向她学习了纳美人的生存技能与对待自然的态度。与此同时，SecFor公司的经理和军方代表上校迈尔斯（史蒂芬•朗 Stephen Lang 饰）逐渐丧失耐心，决定诉诸武力驱赶纳美人……　　本片采用3D技术拍摄，共耗资5亿美元制作发行，是电影史上最为昂贵的作品。本片荣获第82届奥斯卡最佳摄影、最佳视觉效果、最佳艺术指导等3项大奖。$48.2,36.0,14.1,1.3,0.4,$萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,$http://img3.douban.com/view/movie_poster_cover/lpst/public/p1204213484.jpg$阿凡达$科幻,3D,美国,特效,IMAX,史诗,战争,2009,$詹姆斯·卡梅隆$詹姆斯·卡梅隆,$2010-01-04$p1204213484.jpg$138249$动作,冒险,奇幻,科幻,$动作片:98,科幻片:96,$进口分账$阿凡达$英语,西班牙语,$美国,英国,$162$盗梦空间,黑客帝国,源代码,变形金刚2,猩球崛起,第九区,星际穿越,钢铁侠,月球,终结者2,$
22676$380338$7.5$460058$商业成功人士徐朗（徐峥 饰）用了五年时间发明了一种叫“油霸”的神奇产品——每次汽车加油只需加到三分之二，再滴入2滴“油霸”，油箱的汽油就会变成满满一箱。徐朗的同学，兼商业竞争对手高博（黄渤 饰）想把这个发明一次性卖给法国人。但徐朗坚决不同意，他希望深入开发研究， 把“油霸”发扬光大，得到更远的收益。两个人各抒己见，争论不休，一直无果。由于两人股份相同，唯有得到公司最大股东周扬的授权书，方可达到各自目的。当得知周扬在泰国后，徐朗立刻启程寻找。而高博获悉后将一枚跟踪器放在徐朗身上一起去了泰国。飞机上，徐朗遇到了王宝（王宝强 饰），别有心机地想利用他来摆脱对手高博的追赶，可他不仅没甩掉王宝，还成了他的“贴身保姆”……　　究竟徐朗和高博谁会最终拿到周扬的授权书？而三个各怀目的的人，又将带来一段如何爆笑的泰国神奇之旅？$21.9,41.3,30.4,4.7,1.7,$徐峥,王宝强,黄渤,$http://img3.douban.com/view/movie_poster_cover/lpst/public/p1793720172.jpg$人再囧途之泰囧$喜剧,搞笑,2012,贺岁,泰国,温情,公路,冒险,$徐峥$徐峥 , 丁丁 , 束焕,$2012-12-12$p1793720172.jpg$126739$喜剧,$喜剧片:71,$国产$人再囧途之泰囧$汉语普通话,英语,泰语,$中国大陆,$105$人在囧途,十二生肖,厨子戏子痞子,西游降魔篇,三傻大闹宝莱坞,破产姐妹,北京遇上西雅图,大话西游之月光宝盒,疯狂原始人,射雕英雄传之东成西就,$
20343$297686$7.1$352564$大唐年间妖魔横行，一小渔村因为饱受鱼妖之害请来道士（冯勉恒 饰）除妖，年轻驱魔人陈玄奘（文章 饰）前来帮忙却被误认为骗子，幸亏职业赏金驱魔人段小姐（舒淇 饰）帮助玄奘制服了鱼妖真身（李尚正 饰）。二人又在高家庄为制服猪妖猪刚鬣（陈炳强 饰） 而再次相遇，这次除妖没有成功 ，但是段小姐却对玄奘二见钟情。玄奘求助师父，得知除妖的办法是去找被压在五指山下的孙悟空（黄渤 饰）帮忙，于是他准备前往五指山，途中又遇到段小姐和手下五煞，段小姐连蒙带哄想与玄奘在一起却屡次遭拒，在四妹（周秀娜 饰）调教下想变得更有女人味却适得其反。二人决裂后玄奘独自上路，与此同时降魔师（释延能 饰）、天残脚（张超理 饰）、空虚公子（罗志祥 饰）也一同前往除妖。经过千辛万苦玄奘终于找到孙悟空，段小姐又再次出现并交给玄奘一件重要的东西，猪妖终于被降服，但是更大的危机又出现在了玄奘面前，原来孙悟空与传闻中不一样，玄奘的除魔之路能否继续？　　本片是周星驰多年之后的力作，演员阵容延续了以往，除了主演外，还请了诸如卢正雨、杨迪等网络红人加盟。$15.6,38.8,34.9,7.9,2.9,$文章,舒淇,黄渤,$http://img3.douban.com/view/movie_poster_cover/lpst/public/p1856385532.jpg$西游降魔篇$星爷,喜剧,西游,奇幻,2013,爱情,贺岁,3D,$周星驰 / 郭子健$周星驰 , 郭子健 , 霍昕 , 王芸 , 冯志强 , 卢正雨 , 李尚正 , 江玉仪,$2013-02-10$p1856385532.jpg$124644$喜剧,奇幻,冒险,$喜剧片:56,奇幻片:53,$国产$西游降魔篇$汉语普通话,粤语,$中国大陆,香港,$110$人再囧途之泰囧,心花路放,厨子戏子痞子,十二生肖,盲探,北京遇上西雅图,大内密探零零发,人在囧途,搞定岳父大人,武状元苏乞儿,$
